O*NET-SOC Code	Alternate Title	Short Title	Source(s)
15-1251.00	IT Programmer (Information Technology Programmer)	IT Programmer	04
15-1251.00	Java Architect	n/a	01
15-1251.00	Java Developer	n/a	02,08
15-1251.00	Java Programmer	n/a	09
15-1251.00	Mainframe Programmer	n/a	04,06,07
15-1251.00	Malware Analyst	n/a	01
15-1251.00	Object-Oriented Programmer	n/a	04,06,07
15-1251.00	Operating System Programmer	n/a	08
15-1251.00	Programmer	n/a	02,08,09,10
15-1251.00	Programmer Analyst	n/a	02
15-1251.00	Software Programmer	n/a	08
15-1251.00	Systems Programmer	n/a	02,04,06,07,10
15-1251.00	Video Game Programmer	n/a	09
15-1251.00	Web Applications Programmer	n/a	02
15-1251.00	Web Programmer	n/a	02,06,07
15-1251.00	Website Programmer	n/a	08
15-1251.00	White Hat Hacker	n/a	09
15-1252.00	.NET Developer	n/a	08
15-1252.00	Android Developer	n/a	08
15-1252.00	AngularJS Developer	n/a	01
15-1252.00	Apache Hadoop Developer	n/a	01
15-1252.00	Application Architect	n/a	08
15-1252.00	Application Developer	n/a	02
15-1252.00	Application Integration Engineer	n/a	02,04
15-1252.00	Application Integrator	n/a	08
15-1252.00	Application Support Engineer	n/a	01
15-1252.00	Application Systems Architect	n/a	01
15-1252.00	Applications Analyst	n/a	08
15-1252.00	Applications Developer	n/a	04,08
15-1252.00	Applications Engineer	n/a	08
15-1252.00	Applications Programmer	n/a	08
15-1252.00	Applications Software Engineering Information Technology Specialist (Applications Software Engineering IT Specialist)	Applications Software Engineering IT Specialist	08
15-1252.00	Applications System Analyst	n/a	08
15-1252.00	Artificial Intelligence Specialist (AI Specialist)	AI Specialist	08
15-1252.00	ASP.NET Developer	n/a	01
15-1252.00	Automation Engineer	n/a	08
15-1252.00	Beta Tester	n/a	08
15-1252.00	Business Application Developer	n/a	01
15-1252.00	C Developer	n/a	01
15-1252.00	C++ Developer	n/a	01
15-1252.00	Certified Novell Engineer (CNE)	CNE	08
15-1252.00	Cisco Certified Internetwork Expert (CCIE)	CCIE	08
15-1252.00	Cisco Certified Network Professional (CCNP)	CCNP	08
15-1252.00	Commercial Drone Software Developer	n/a	08
15-1252.00	Computer Applications Developer	n/a	04,08
15-1252.00	Computer Applications Engineer	n/a	04,08
15-1252.00	Computer Architect	n/a	08
15-1252.00	Computer Consultant	n/a	08
15-1252.00	Computer Engineer	n/a	08
15-1252.00	Computer Programmer Analyst	n/a	08
15-1252.00	Computer Software Engineer	n/a	08
15-1252.00	Computer Systems Engineer	n/a	04,08
15-1252.00	Computer Systems Software Architect	n/a	04,08
15-1252.00	Computer Systems Software Engineer	n/a	04,08
15-1252.00	Data Modeler	n/a	08
15-1252.00	Database Developer	n/a	08
15-1252.00	DataStage Developer	n/a	01
15-1252.00	Dev Ops Engineer	n/a	08
15-1252.00	Developer	n/a	02,10
15-1252.00	DevOps Architect (Development and Operations Architect)	DevOps Architect	01
15-1252.00	DevOps Developer (Development and Operations Developer)	DevOps Developer	01
15-1252.00	DevOps Engineer	n/a	08
15-1252.00	Drone Software Development Engineer	n/a	08
15-1252.00	EDP System Engineer (Electronic Data Processing System Engineer)	EDP System Engineer	08
15-1252.00	Embedded Engineer	n/a	08
15-1252.00	Embedded Software Engineer	n/a	01
15-1252.00	Embedded Systems Software Developer	n/a	04,08
15-1252.00	Enterprise Architect	n/a	08
15-1252.00	Enterprise Systems Engineer	n/a	04,08
15-1252.00	ETL Developer (Extract-Transform-Load Developer)	ETL Developer	01
15-1252.00	Full Stack Developer	n/a	10
15-1252.00	Full Stack Software Engineer	n/a	10
15-1252.00	Game Developer	n/a	08
15-1252.00	Game Engineer	n/a	08
15-1252.00	Graphic Engineer	n/a	08
15-1252.00	Implementation Specialist	n/a	08
15-1252.00	Information Architect	n/a	08
15-1252.00	Infrastructure Engineer	n/a	02
15-1252.00	Interface Designer	n/a	08
15-1252.00	Internet Application Developer	n/a	08
15-1252.00	Internet Consultant	n/a	08
15-1252.00	Internet Site Designer	n/a	08
15-1252.00	iOS Developer	n/a	08
15-1252.00	Java Architect	n/a	01
15-1252.00	Java Programmer	n/a	08
15-1252.00	Java Software Developer	n/a	08
15-1252.00	Java Software Engineer	n/a	08
15-1252.00	JavaScript Developer	n/a	01
15-1252.00	jQuery Developer	n/a	01
15-1252.00	Knowledge Management Application Developer	n/a	08
15-1252.00	Lotus Notes Developer	n/a	08
15-1252.00	Mainframe Systems Programmer	n/a	08
15-1252.00	Mobile Application Developer	n/a	01
15-1252.00	Mobile Applications Developer	n/a	04
15-1252.00	Mobile Device Developer	n/a	01
15-1252.00	Network Engineer	n/a	02
15-1252.00	Networking Engineer	n/a	08
15-1252.00	Node.js Developer	n/a	01
15-1252.00	Operating System Designer	n/a	08
15-1252.00	Operating Systems Specialist	n/a	08
15-1252.00	Publishing Systems Analyst	n/a	08
15-1252.00	Python Developer	n/a	01
15-1252.00	Ruby on Rails Developer	n/a	01
15-1252.00	Secure Software Assessor	n/a	08
15-1252.00	Server Engineer	n/a	08
15-1252.00	SharePoint Developer	n/a	08
15-1252.00	Simulation Developer	n/a	08
15-1252.00	SOA Developer (Service Oriented Architecture Developer)	SOA Developer	01
15-1252.00	Software Applications Architect	n/a	04,08
15-1252.00	Software Applications Designer	n/a	04,08
15-1252.00	Software Applications Developer	n/a	08
15-1252.00	Software Applications Engineer	n/a	04,08
15-1252.00	Software Applications Specialist	n/a	08
15-1252.00	Software Architect	n/a	02
15-1252.00	Software Computer Specialist	n/a	08
15-1252.00	Software Design Engineer	n/a	08
15-1252.00	Software Designer	n/a	08
15-1252.00	Software Developer	n/a	02
15-1252.00	Software Development Engineer	n/a	02
15-1252.00	Software Engineer	n/a	02,04,10
15-1252.00	Software Engineering Supervisor	n/a	08
15-1252.00	Software Engineering Systems Information Technology Specialist (Software Engineering Systems IT Specialist)	Software Engineering Systems IT Specialist	08
15-1252.00	Software Installer	n/a	08
15-1252.00	Software Quality Engineer	n/a	08
15-1252.00	Software Requirements Engineer	n/a	08
15-1252.00	Software Systems Developer	n/a	04
15-1252.00	Software Systems Engineer	n/a	04,08
15-1252.00	Software Tester	n/a	08
15-1252.00	Software Writer	n/a	08
15-1252.00	Solution Architect	n/a	08
15-1252.00	Solutions Architect	n/a	08
15-1252.00	Solutions Engineer	n/a	01
15-1252.00	Supplier Quality Engineer	n/a	08
15-1252.00	System Engineer	n/a	08
15-1252.00	Systems Analyst	n/a	08
15-1252.00	Systems Analyst Engineer	n/a	08
15-1252.00	Systems Coordinator	n/a	08
15-1252.00	Systems Engineer	n/a	02
15-1252.00	Systems Integration Engineer	n/a	08
15-1252.00	Systems Software Designer	n/a	04,08
15-1252.00	Systems Software Engineer	n/a	08
15-1252.00	Systems Software Specialist	n/a	04,08
15-1252.00	Systems Support Engineer	n/a	08
15-1252.00	Technical Support Engineer	n/a	08
15-1252.00	Test Engineer	n/a	08
15-1252.00	Usability Engineer	n/a	08
15-1252.00	User Interface Designer	n/a	08
15-1252.00	Video Game Engineer	n/a	08
15-1252.00	Wide Area Network Engineer (WAN Engineer)	WAN Engineer	08
15-1252.00	Windows Software Engineer	n/a	08
15-1252.00	XML Developer (Extensible Markup Language Developer)	XML Developer	01
15-1253.00	Application Integrator	n/a	08
15-1253.00	Applications Analyst	n/a	08
15-1253.00	Applications Quality Assurance Specialist (Applications QA Specialist)	Applications QA Specialist	08
15-1253.00	Applications Software Engineering Information Technology Specialist (Applications Software Engineering IT Specialist)	Applications Software Engineering IT Specialist	08
15-1253.00	Applications System Analyst	n/a	08
15-1253.00	Applications Tester	n/a	04
15-1253.00	Automation Tester	n/a	02,08
15-1253.00	Beta Tester	n/a	08
15-1253.00	Bug Bounty Hunter	n/a	01
15-1253.00	Computer Consultant	n/a	02
15-1253.00	Data Modeler	n/a	08
15-1253.00	Game Tester	n/a	08
15-1253.00	Implementation Specialist	n/a	08
15-1253.00	Information Technology Analyst (IT Analyst)	IT Analyst	02
15-1253.00	Information Technology Consultant (IT Consultant)	IT Consultant	08
15-1253.00	IT Performance Analyst (Information Technology Performance Analyst)	IT Performance Analyst	01
15-1253.00	Malware Analyst	n/a	01
15-1253.00	Quality Analyst	n/a	08
15-1253.00	Quality Assurance Analyst (QA Analyst)	QA Analyst	02
15-1253.00	Quality Assurance Automation Engineer (QA Automation Engineer)	QA Automation Engineer	01
15-1253.00	Quality Assurance Engineer (QA Engineer)	QA Engineer	02,08
15-1253.00	Quality Assurance Specialist (QA Specialist)	QA Specialist	08
15-1253.00	Quality Assurance Tester (QA Tester)	QA Tester	08
15-1253.00	Quality Engineer	n/a	02,08
15-1253.00	Secure Software Assessor	n/a	08
15-1253.00	Server Engineer	n/a	08
15-1253.00	Software Application Quality Assurance Specialist (Software Application QA Specialist)	Software Application QA Specialist	01
15-1253.00	Software Application Support Specialist	n/a	01
15-1253.00	Software Installer	n/a	08
15-1253.00	Software Quality Assurance Analyst (SQA Analyst)	SQA Analyst	02
15-1253.00	Software Quality Assurance Consultant (Software QA Consultant)	Software QA Consultant	10
15-1253.00	Software Quality Assurance Engineer (SQA Engineer)	SQA Engineer	02
15-1253.00	Software Quality Assurance Specialist (SQA Specialist)	SQA Specialist	08
15-1253.00	Software Quality Assurance Technician (SQA Technician)	SQA Technician	04
15-1253.00	Software Quality Control Specialist (Software QC Specialist)	Software QC Specialist	04
15-1253.00	Software Quality Engineer	n/a	02,04
15-1253.00	Software Quality Tester	n/a	08
15-1253.00	Software Requirements Engineer	n/a	08
15-1253.00	Software Systems Engineer	n/a	08
15-1253.00	Software Test Analyst	n/a	08
15-1253.00	Software Test Engineer	n/a	02,04,10
15-1253.00	Software Tester	n/a	08
15-1253.00	Software Testing Specialist	n/a	08
15-1253.00	Solution Architect	n/a	08
15-1253.00	Solutions Architect	n/a	08
15-1253.00	System Testing and Evaluation Specialist	n/a	08
15-1253.00	Systems Analyst	n/a	08
15-1253.00	Systems Analyst Engineer	n/a	08
15-1253.00	Systems Coordinator	n/a	08
15-1253.00	Systems Integration Engineer	n/a	08
15-1253.00	Systems Software Quality Assurance Specialist (Systems Software QA Specialist)	Systems Software QA Specialist	08
15-1253.00	Systems Software Specialist	n/a	08
15-1253.00	Systems Support Engineer	n/a	08
15-1253.00	Systems Tester	n/a	08
15-1253.00	Systems Tester Analyst	n/a	01
15-1253.00	Technical Support Engineer	n/a	08
15-1253.00	Technology Analyst	n/a	01
15-1253.00	Test Automation Engineer	n/a	08
15-1253.00	Test Engineer	n/a	02
15-1253.00	Usability Engineer	n/a	08
15-1253.00	User Experience Designer (UX Designer)	UX Designer	08
15-1253.00	User Interface and User Experience Architect (UI/UX Architect)	UI/UX Architect	01
15-1253.00	User Interface and User Experience Designer (UI/UX Designer)	UI/UX Designer	01
15-1253.00	User Interface Designer (UI Designer)	UI Designer	08
15-1254.00	Back End Developer	n/a	10
15-1254.00	Back End Engineer	n/a	10
15-1254.00	Back End Software Engineer	n/a	10
15-1254.00	Back-End Web Developer	n/a	01
15-1254.00	Computer Graphic Artist	n/a	08
15-1254.00	Computer Graphic Designer	n/a	08
15-1254.00	Front End Developer	n/a	08
15-1254.00	Front End Engineer	n/a	10
15-1254.00	Front End Software Engineer	n/a	10
15-1254.00	Front End Web Developer	n/a	08
15-1254.00	Full Stack Developer	n/a	10
15-1254.00	Full Stack Web Developer	n/a	10
15-1254.00	HTML Developer (HyperText Markup Language Developer)	HTML Developer	01
15-1254.00	Interface Designer	n/a	08
15-1254.00	Internet Application Developer	n/a	08
15-1254.00	Internet Architect	n/a	08
15-1254.00	Internet Developer	n/a	08
15-1254.00	Internet Site Designer	n/a	08
15-1254.00	Internet Specialist	n/a	08
15-1254.00	Intranet Developer	n/a	04,08
15-1254.00	JavaScript Developer	n/a	01
15-1254.00	jQuery Developer	n/a	01
15-1254.00	Node.js Developer	n/a	01
15-1254.00	PHP Developer (Personal Home Page Developer)	PHP Developer	08
15-1254.00	PHP Web Developer (Personal Home Page Web Developer)	PHP Web Developer	08
15-1254.00	PHP Website Developer	n/a	08
15-1254.00	React.js Developer	n/a	01
15-1254.00	Ruby on Rails Developer	n/a	01
15-1254.00	Salesforce Developer	n/a	01
15-1254.00	Tableau Developer	n/a	01
15-1254.00	Technology Applications Engineer	n/a	02
15-1254.00	UI Developer (User Interface Developer)	UI Developer	10
15-1254.00	Web Application Developer	n/a	01
15-1254.00	Web Applications Developer	n/a	04,08
15-1254.00	Web Architect	n/a	02,04
15-1254.00	Web Consultant	n/a	01
15-1254.00	Web Content Developer	n/a	04,08
15-1254.00	Web Design Specialist	n/a	02
15-1254.00	Web Designer	n/a	02
15-1254.00	Web Developer	n/a	02,04
15-1254.00	Web Engineer	n/a	08
15-1254.00	Web Infrastructure Developer	n/a	01
15-1254.00	Web Page Developer	n/a	08
15-1254.00	Web Producer	n/a	08
15-1254.00	Web Programmer	n/a	08
15-1254.00	Web Site Designer	n/a	08
15-1254.00	Web Site Developer	n/a	08
15-1254.00	Web Site Specialist	n/a	08
15-1254.00	Web Software Engineer	n/a	08
15-1254.00	Web Specialist	n/a	08
15-1254.00	Web Technician	n/a	01
15-1254.00	Webmaster	n/a	02
15-1254.00	Webmaster Analyst	n/a	01
15-1254.00	Website Manager	n/a	01
15-1254.00	Websphere Administrator	n/a	01
15-1254.00	WordPress Developer	n/a	01
15-1254.00	XML Developer (Extensible Markup Language Developer)	XML Developer	01
15-1255.00	Computer Graphic Artist	n/a	08
15-1255.00	Computer Graphic Designer	n/a	08
15-1255.00	Content Manager	n/a	08
15-1255.00	Digital Designer	n/a	04
15-1255.00	Front End Developer	n/a	08
15-1255.00	Front End Web Developer	n/a	08
15-1255.00	Graphics Designer	n/a	04
15-1255.00	HTML Developer (HyperText Markup Language Developer)	HTML Developer	01
15-1255.00	Interface Designer	n/a	08
15-1255.00	Internet Application Developer	n/a	08
15-1255.00	Internet Architect	n/a	08
15-1255.00	Internet Developer	n/a	08
15-1255.00	Internet Site Designer	n/a	08
15-1255.00	Internet Specialist	n/a	08
15-1255.00	Intranet Developer	n/a	08
15-1255.00	Multimedia Developer	n/a	08
15-1255.00	PHP Developer (Personal Home Page Developer)	PHP Developer	08
15-1255.00	PHP Web Developer (Personal Home Page Web Developer)	PHP Web Developer	08
15-1255.00	PHP Website Developer (Personal Home Page Website Developer)	PHP Website Developer	08
15-1255.00	React.js Developer	n/a	01
15-1255.00	Technology Applications Engineer	n/a	02
15-1255.00	Usability Specialist	n/a	08
15-1255.00	User Experience Designer (UX Designer)	UX Designer	08
15-1255.00	User Interface and User Experience Architect (UI/UX Architect)	UI/UX Architect	01
15-1255.00	User Interface and User Experience Designer (UI/UX Designer)	UI/UX Designer	01
15-1255.00	User Interface Designer (UI Designer)	UI Designer	08
15-1255.00	User Interface Developer (UI Developer)	UI Developer	08
15-1255.00	User Interface Engineer (UI Engineer)	UI Engineer	01
15-1255.00	Web Application Developer	n/a	01
15-1255.00	Web Applications Developer	n/a	08
15-1255.00	Web Architect	n/a	02
15-1255.00	Web Consultant	n/a	01
15-1255.00	Web Content Developer	n/a	08
15-1255.00	Web Content Specialist	n/a	04
15-1255.00	Web Design Specialist	n/a	02
15-1255.00	Web Designer	n/a	02,04
15-1255.00	Web Developer	n/a	02
15-1255.00	Web Engineer	n/a	08
15-1255.00	Web Page Developer	n/a	08
15-1255.00	Web Producer	n/a	08
15-1255.00	Web Programmer	n/a	08
15-1255.00	Web Site Designer	n/a	08
15-1255.00	Web Site Developer	n/a	08
15-1255.00	Web Site Specialist	n/a	08
15-1255.00	Web Software Engineer	n/a	08
15-1255.00	Web Specialist	n/a	08
15-1255.00	Web Technician	n/a	01
15-1255.00	Webmaster	n/a	02
15-1255.00	Webmaster Analyst	n/a	01
15-1255.00	Website Manager	n/a	01
15-1255.00	Websphere Administrator	n/a	01
15-1255.01	Computer Game Designer	n/a	08
15-1255.01	Computer Video Game Designer	n/a	08
15-1255.01	Concept Artist	n/a	10
15-1255.01	Content Creator	n/a	10
15-1255.01	Design Director	n/a	02
15-1255.01	Designer	n/a	02
15-1255.01	Environment Artist	n/a	10
15-1255.01	Environmental Artist	n/a	02
15-1255.01	Game Design Consultant	n/a	02
15-1255.01	Game Designer	n/a	02,10
15-1255.01	Game Engineer	n/a	10
15-1255.01	Gamemaster	n/a	02
15-1255.01	Gameplay Engineer	n/a	10
15-1255.01	Interactive Multimedia Designer	n/a	08
15-1255.01	Level Designer	n/a	02
15-1255.01	Mobile Game Engineer	n/a	10
15-1255.01	Video Content Creator	n/a	10
15-1255.01	Video Game Creator	n/a	09
15-1255.01	Video Game Designer	n/a	08
15-1255.01	Video Game Developer	n/a	08
15-1255.01	Video Game Engineer	n/a	08
15-1255.01	Video Game Maker	n/a	08
15-1255.01	Video Game Tester	n/a	01
15-1255.01	Videogame Designer	n/a	08
15-1255.01	World Designer	n/a	02
15-1299.00	Artificial Intelligence Specialist	n/a	04,06,07
15-1299.00	Business Consultant	n/a	10
15-1299.00	Computer Console Operator	n/a	04
15-1299.00	Computer Laboratory Technician	n/a	04
15-1299.00	Computer or Computer Laboratory Technician	n/a	04,06,07
15-1299.00	Computer Systems Hardware Analyst	n/a	08
15-1299.00	Content Manager	n/a	08
15-1299.00	Data Center Operator	n/a	04
15-1299.00	Data Center Technician	n/a	01
15-1299.00	General Information Technology Specialist	n/a	07
15-1299.00	Information Systems Technician	n/a	08
15-1299.00	Information Technology Consultant	n/a	10
15-1299.00	Multimedia Developer	n/a	08
15-1299.00	Security Consultant	n/a	10
15-1299.00	Technology Consultant	n/a	10
15-1299.01	Administrator (Admin)	Admin	10
15-1299.01	Content Publisher	n/a	10
15-1299.01	Corporate Webmaster	n/a	02
15-1299.01	Implementer	n/a	10
15-1299.01	Internet Systems Administrator	n/a	08
15-1299.01	SharePoint Administrator	n/a	01
15-1299.01	Web Administrator	n/a	02,10
15-1299.01	Web Content Administrator (Admin)	Admin	10
15-1299.01	Web Content Coordinator	n/a	02,10
15-1299.01	Web Content Manager	n/a	02,10
15-1299.01	Web Coordinator	n/a	10
15-1299.01	Web Development Manager	n/a	01
15-1299.01	Web Director	n/a	02
15-1299.01	Web Manager	n/a	02,08,10
15-1299.01	Web Operations Specialist	n/a	08
15-1299.01	Web Project Manager	n/a	01
15-1299.01	Web Publisher	n/a	10
15-1299.01	Web Publishing Coordinator	n/a	01
15-1299.01	Web Security Manager	n/a	01
15-1299.01	Web Site Administrator	n/a	08
15-1299.01	Web Site Manager	n/a	02
15-1299.01	Web Site Project Manager	n/a	08
15-1299.01	Web Technologies Administrator	n/a	02
15-1299.01	Webmaster	n/a	02,08,10
15-1299.01	Webmaster Analyst	n/a	01
15-1299.01	Website Administrator	n/a	10
15-1299.01	Website Content Manager	n/a	10
15-1299.01	Website Coordinator	n/a	10
15-1299.01	Website Manager	n/a	01
15-1299.01	Websphere Administrator	n/a	01
15-1299.02	CADD GIS Technician (Computer-Aided Design and Drafting Geographic Information Systems Technician)	CADD GIS Technician	08
15-1299.02	Cartographic Technician	n/a	08
15-1299.02	Conversion Specialist	n/a	08
15-1299.02	Field GIS Technician (Field Geographic Information Systems Technician)	Field GIS Technician	08
15-1299.02	Geographic Information System Analyst (GIS Analyst)	GIS Analyst	02
15-1299.02	Geographic Information Systems Administrator (GIS Administrator)	GIS Administrator	02
15-1299.02	Geographic Information Systems Analyst (GIS Analyst)	GIS Analyst	02
15-1299.02	Geographic Information Systems Application Specialist (GIS Application Specialist)	GIS Application Specialist	08
15-1299.02	Geographic Information Systems Coordinator (GIS Coordinator)	GIS Coordinator	02
15-1299.02	Geographic Information Systems Data Administrator (GIS Data Administrator)	GIS Data Administrator	08
15-1299.02	Geographic Information Systems Data Specialist (GIS Data Specialist)	GIS Data Specialist	08
15-1299.02	Geographic Information Systems Database Administrator (GIS Database Administrator)	GIS Database Administrator	08
15-1299.02	Geographic Information Systems Developer (GIS Developer)	GIS Developer	08
15-1299.02	Geographic Information Systems Geographer (GIS Geographer)	GIS Geographer	08
15-1299.02	Geographic Information Systems Mapping Technician (GIS Mapping Technician)	GIS Mapping Technician	08
15-1299.02	Geographic Information Systems Technologist (GIS Technologist)	GIS Technologist	08
15-1299.02	Geographical Information System Specialist (GIS Specialist)	GIS Specialist	08
15-1299.02	Geographical Information System Technician (GIS Technician)	GIS Technician	08
15-1299.02	Geospatial Analyst	n/a	08
15-1299.02	Geospatial Engineer	n/a	08
15-1299.02	Geospatial Information Technologist	n/a	08
15-1299.02	Geospatial Specialist	n/a	08
15-1299.02	Geospatial Technician	n/a	08
15-1299.02	Geospatial Technologist	n/a	08
15-1299.02	GIS Consultant (Geographic Information Systems Consultant)	GIS Consultant	08
15-1299.02	GIS Specialist (Geographic Information Systems Specialist)	GIS Specialist	02,08
15-1299.02	GIS Technician (Geographic Information Systems Technician)	GIS Technician	02,08
15-1299.02	Global Position System Technician (GPS Technician)	GPS Technician	08
15-1299.02	Global Positioning System Field Technician (GPS Field Technician)	GPS Field Technician	08
15-1299.02	Global Positioning Systems Analyst Technician (GPS Analyst Technician)	GPS Analyst Technician	08
15-1299.02	Imagery Analyst	n/a	08
15-1299.02	Resource Analyst	n/a	02
15-1299.03	Business Records Manager	n/a	02
15-1299.03	Certified Document Imaging Architect	n/a	02
15-1299.03	Content Specialist	n/a	10
15-1299.03	Content Strategist	n/a	10
15-1299.03	Document Control Clerk	n/a	10
15-1299.03	Document Control Coordinator	n/a	10
15-1299.03	Document Control Manager	n/a	02,08
15-1299.03	Document Control Specialist	n/a	08,10
15-1299.03	Document Controller	n/a	10
15-1299.03	Document Imaging Specialist	n/a	08
15-1299.03	Document Management Consultant	n/a	02
15-1299.03	Document Management Specialist	n/a	08
15-1299.03	Document Management Technician	n/a	08
15-1299.03	Document Specialist	n/a	10
15-1299.03	Documentation Analyst	n/a	10
15-1299.03	Documentation Specialist	n/a	10
15-1299.03	ECM Consultant (Enterprise Content Management Consultant)	ECM Consultant	02
15-1299.03	Electronic Content Manager	n/a	02
15-1299.03	Enterprise Records Analyst	n/a	08
15-1299.03	Knowledge Management Specialist	n/a	10
15-1299.03	Record Systems Analyst	n/a	02
15-1299.03	Records and Information Management Consultant (RIM Consultant)	RIM Consultant	02
15-1299.03	Records and Information Management Specialist (RIM Specialist)	RIM Specialist	02
15-1299.03	Records Manager	n/a	02
15-1299.04	Application Security Assessor	n/a	08
15-1299.04	Application Security Hacker	n/a	08
15-1299.04	Application Security Tester	n/a	08
15-1299.04	Certified Hacker	n/a	08
15-1299.04	Certified Tester	n/a	08
15-1299.04	Consulting Advisory Tester	n/a	08
15-1299.04	Cyber Assessment Tester	n/a	08
15-1299.04	Cyber Assessor	n/a	08
15-1299.04	Cyber Security Engineer	n/a	08
15-1299.04	Cyber Security Tester	n/a	08
15-1299.04	Cyber Tester	n/a	08
15-1299.04	Cybersecurity Engineer (Cyber Engineer)	Cyber Engineer	10
15-1299.04	Embedded Tester	n/a	08
15-1299.04	Forensic Analysis Tester	n/a	08
15-1299.04	Hacker	n/a	08
15-1299.04	Information Security Analyst	n/a	10
15-1299.04	Information Security Assessor	n/a	08
15-1299.04	IT Security Tester (Information Technology Security Tester)	IT Security Tester	08
15-1299.04	Network Security Engineer	n/a	08
15-1299.04	Network Security Tester	n/a	08
15-1299.04	Penetration Tester	n/a	03,08,10
15-1299.04	Penetration Testing Consultant	n/a	10
15-1299.04	Risk Tester	n/a	08
15-1299.04	Security Application Tester	n/a	08
15-1299.04	Security Architect	n/a	08
15-1299.04	Security Assessment Tester	n/a	08
15-1299.04	Security Automation Tester	n/a	08
15-1299.04	Security Consultant	n/a	10
15-1299.04	Security Consulting Tester	n/a	08
15-1299.04	Security Engineer	n/a	08
15-1299.04	Security Tester	n/a	08
15-1299.04	Systems Security Tester	n/a	08
15-1299.04	Tester	n/a	08
15-1299.04	Vulnerability Analyst	n/a	10
15-1299.04	Vulnerability Assessment Analyst	n/a	03
15-1299.05	AI Security Specialist (Artificial Intelligence Security Specialist)	AI Security Specialist	01
15-1299.05	Application Security Administrator	n/a	01
15-1299.05	Applications Engineer	n/a	08
15-1299.05	Automotive Security Engineer	n/a	01
15-1299.05	Blue Team Member	n/a	01
15-1299.05	Cloud Engineer	n/a	01
15-1299.05	Cloud Security Architect	n/a	01
15-1299.05	Cloud Security Engineer	n/a	10
15-1299.05	Communications Security Manager (COMSEC Manager)	COMSEC Manager	01
15-1299.05	Cyber Defense Incident Responder	n/a	03
15-1299.05	Cyber Defense Infrastructure Support Specialist	n/a	03
15-1299.05	Cyber Security Engineer	n/a	08
15-1299.05	Cyber Security Threat Engineer	n/a	08
15-1299.05	Cybersecurity Engineer	n/a	01
15-1299.05	Cybersecurity Hardware Engineer	n/a	01
15-1299.05	Cybersecurity Software Developer	n/a	01
15-1299.05	Cybersecurity Software Engineer	n/a	01
15-1299.05	Information Architect	n/a	08
15-1299.05	Information Assurance Engineer	n/a	08
15-1299.05	Information Security Administrator	n/a	08
15-1299.05	Information Security Architect	n/a	08
15-1299.05	Information Security Consultant	n/a	08
15-1299.05	Information Security Engineer	n/a	08
15-1299.05	Information Security Loss Prevention Engineer	n/a	08
15-1299.05	Information Security Management Engineer	n/a	08
15-1299.05	Information Systems Security Developer	n/a	01
15-1299.05	Information Systems Security Engineer	n/a	08
15-1299.05	Information Systems Security Scientist	n/a	08
15-1299.05	IT Administrator (Information Technology Administrator)	IT Administrator	08
15-1299.05	IT Architect (Information Technology Architect)	IT Architect	08
15-1299.05	IT Security Engineer (Information Technology Security Engineer)	IT Security Engineer	10
15-1299.05	Mobile Security Engineer	n/a	01
15-1299.05	Network Engineer	n/a	08
15-1299.05	Network Security Engineer	n/a	08
15-1299.05	Red Team Member	n/a	01
15-1299.05	Security Administrator	n/a	01
15-1299.05	Security Engineer	n/a	08
15-1299.05	Security Operations Center Manager (SOC Manager)	SOC Manager	01
15-1299.05	System Security Analyst	n/a	03
15-1299.05	Systems Engineer	n/a	08
15-1299.05	Systems Security Engineer	n/a	08
15-1299.06	Cyber Analyst	n/a	08
15-1299.06	Cyber Digital Forensics	n/a	03
15-1299.06	Cyber Digital Media Analyst	n/a	08
15-1299.06	Cybersecurity Analyst (Cyber)	Cyber	10
15-1299.06	Cybersecurity Engineer (Cyber)	Cyber	10
15-1299.06	Cybersecurity Incident Response Analyst (Cyber)	Cyber	10
15-1299.06	Cybersecurity Specialist (Cyber)	Cyber	10
15-1299.06	Digital Analyst	n/a	08
15-1299.06	Digital Computer Analyst	n/a	08
15-1299.06	Digital Cyber Analyst	n/a	08
15-1299.06	Digital Forensic Analyst	n/a	08
15-1299.06	Digital Forensic Examiner	n/a	10
15-1299.06	Digital Forensics Analyst	n/a	10
15-1299.06	Digital Investigator	n/a	08
15-1299.06	Digital Media Analyst	n/a	08
15-1299.06	Incident Responder	n/a	10
15-1299.06	Incident Response Analyst	n/a	10
15-1299.06	Information Technology Security Analyst (IT Security Analyst)	IT Security Analyst	10
15-1299.06	IT Analyst (Information Technology Analyst)	IT Analyst	08
15-1299.06	Law Enforcement Counterintelligence Forensics Analyst	n/a	01
15-1299.06	Legal Digital Analyst	n/a	08
15-1299.06	Malware Analyst	n/a	01
15-1299.06	Offensive Security Engineer	n/a	10
15-1299.06	Operations Analyst	n/a	08
15-1299.06	Security Analyst	n/a	10
15-1299.07	Algorithm Engineer	n/a	08
15-1299.07	Automation Engineer	n/a	08
15-1299.07	Blockchain Analyst	n/a	08
15-1299.07	Blockchain Architect	n/a	08
15-1299.07	Blockchain Developer	n/a	08
15-1299.07	Blockchain Engineer	n/a	08
15-1299.07	Blockchain Penetration Tester	n/a	08
15-1299.07	Blockchain Software Developer	n/a	08
15-1299.07	Blockchain Software Engineer	n/a	08
15-1299.07	Blockchain Threat Investigator	n/a	08
15-1299.07	Blockchain Web Designer	n/a	08
